"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Kineosporiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984512331180913,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Kineosporiaceae.KineosporiaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Microbacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Microbacteriaceae.MicrobacteriaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae",17.9605074099922,19.7600564573042,106.126871196663,188.240342140064,44.9719103302249,85.6186646762815,11.8529269472666,22.3540655886533,27.7013791329468,10.5868118572293,59.533596109829,30.3368388704886,1.37608096074041,119.531176201306,2.3844966838464,13.2628604200537,2.50702414443324,35.4464475774099,76.8220063723822,6.54430747259473,195.957225283648,63.2918194886677,14.8896521839949,35.7105649315498
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.MicrococcaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Micrococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia",17.9605074099922,19.7600564573042,105.242059264342,184.777205668571,44.4651845800252,84.8602316230467,11.8359941944848,22.2582624504162,27.7013791329468,10.5656382335148,58.7562849865326,28.8908047939359,1.37608096074041,118.886894684193,2.37257420042717,13.2424560194075,2.4735971558408,35.2816803392772,74.2668667058496,6.09703465971955,195.068424309575,62.0316257573926,14.7627002165308,35.3626109486342
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Mycobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467789986353898,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Mycobacteriaceae.Mycobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467789986353898,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Propionibacteriaceae",2.68509585779384,0,5.05606818469095,1.64129690592086,0,1.40450565413848,3.35268505079826,0,0,0,0,0.597534742377164,0,0.565159225538092,1.7883725128848,3.55036571244516,3.76053621664986,2.14913788868694,2.16537259875646,5.88516859046289,4.67789986353898,10.6583549411327,0.906799767600174,0.953298583330213
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Propionibacteriaceae.PropionibacteriaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Propionibacteriaceae.Propionibacterium",1.78707048729422,0,2.52803409234547,0,0,0,0,0,0,0,0,0,0,0,1.7883725128848,3.04025569628924,3.76053621664986,0.35818964811449,2.16537259875646,3.13875658158021,2.32491623217887,10.6583549411327,0,0.953298583330213
