"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22"
"Bacteria.Chloroflexi.Thermomicrobia.ThermomicrobiaU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Chloroflexi.Thermomicrobia.ThermomicrobiaU.ThermomicrobiaUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Chloroflexi.Thermomicrobia.ThermomicrobiaU.ThermomicrobiaUU.ThermomicrobiaUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria",0,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria",0,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.Chloroplast",0,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.Chloroplast.Streptophyta",0,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.Chloroplast.Streptophyta.StreptophytaU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.CyanobacteriaU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.CyanobacteriaU.CyanobacteriaUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.CyanobacteriaU.CyanobacteriaUU.CyanobacteriaUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.Family_IX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.Family_IX.GpIX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Cyanobacteria.Cyanobacteria.Family_IX.GpIX.GpIXU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Deinococcus-Thermus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Deinococcus-Thermus.Deinococci",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Deinococcus-Thermus.Deinococci.Deinococcales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Deinococcus-Thermus.Deinococci.Deinococcales.Deinococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Deinococcus-Thermus.Deinococci.Deinococcales.Deinococcaceae.Deinococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes",3162.47,1051.93,1631.11,973.73,2207.35,1912.7,1477.86,2655.04,4241.86,1294.38,889.07,2322.97,4882.39,6711.69,7156.13,3395.53,8156.34,7430.08,5615.71,6124.56,6900.47,1827.88
"Bacteria.Firmicutes.Bacilli",876,413.93,1145.96,402.9,1143.98,1746.89,982.94,1846.78,3070.96,466,646.93,1862.85,4500.89,5611.57,5874.63,2536.95,5021.76,5581.89,4481.37,5133.91,4691.79,1281.92
"Bacteria.Firmicutes.Bacilli.Bacillales",53,6,48,12,27.99,201,62.99,268,183,26,49,24,578,475.97,158,319,212,50,566.98,729.99,354.97,39
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae",0,0,0,0,0,0,0,0,11.99,0,0,0,0,0,0,0,0,0,0,2.99,4.93,0.99
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Anoxybacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus",0,0,0,0,0,0,0,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Geobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Tumebacillus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99,4.93,0.99
"Bacteria.Firmicutes.Bacilli.Bacillales.BacillalesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.BacillalesU.BacillalesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Listeriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Listeriaceae.Listeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae",52.99,6,48,12,27.99,201,62.98,268,171,26,49,24,577.99,475.95,158,319,212,50,566.95,727,350,38
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Gemella",52.99,6,46,12,27.99,201,62.98,268,165,26,49,24,576.99,475.94,158,319,211,49,566.95,717,350,38
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Jeotgalicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus",0,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,1,1,0,10,0,0
"Bacteria.Firmicutes.Bacilli.BacilliU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.BacilliU.BacilliUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.BacilliU.BacilliUU.BacilliUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales",822.99,407.85,1097.82,390.81,1115.92,1545.86,919.94,1578.75,2887.92,440,597.93,1838.74,3922.86,5135.42,5715.61,2217.9,4809.52,5531.68,3914,4403.81,4336.65,1242.84
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae",0,0,1,0,0,0,1,0,0,2.99,0,0,0,6.9,1.99,2,4.85,0,4.88,0,79.26,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Abiotrophia",0,0,0.99,0,0,0,0.98,0,0,2.99,0,0,0,6,1.95,1,4.74,0,3.97,0,75.91,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.AerococcaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Globicatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae",114.55,21.73,65.64,25.42,150.6,63.94,30.25,35.48,33.4,18.05,66.42,62.26,71.59,354.54,138.47,102.96,112.25,58.81,305.75,278.3,374.360000000001,7.71
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.CarnobacteriaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Dolosigranulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Granulicatella",113.63,21.69,63.15,23.79,144.61,63.88,29.39,34.64,33.37,18.03,66.22,62.15,71.51,350.75,135.03,101.22,112.14,58.73,301.2,274.51,373.14,7.71
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae",1,1,0,0,1,1,0,0,2,0,0,275.37,0,1,22.96,2,0,0,0,6,28.95,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.LactobacillaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus",1,1,0,0,1,1,0,0,2,0,0,272.2,0,1,22.96,2,0,0,0,6,28.92,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.LactobacillalesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.LactobacillalesU.LactobacillalesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Leuconostoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Weissella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae",694.9,378.88,1013.89,345.45,893.39,1470.79,883.85,1529.58,2844.8,416.81,516.96,1485.68,3838.72,4697.66,5518.65999999999,2067.71,4669.91,5435.55,3540.85,4037.64,3783.42,1229.55
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.StreptococcaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus",694.9,378.88,1013.86,345.44,893.39,1470.76,883.82,1529.56,2844.79,416.79,516.95,1485.63,3838.7,4697.57,5518.61,2067.67,4669.86,5435.43,3539.95,4037.62,3782.53,1229.55
"Bacteria.Firmicutes.Clostridia",2281.76,634.27,484.02,569.79,1061.34,165.81,494.82,807.92,1150.84,827.32,241.17,460,380.62,1099.97,1279.24,855.35,3128.07,1846.82,1133.39,987.8,2200.94,544.85
"Bacteria.Firmicutes.Clostridia.Clostridiales",2253.67,628.02,482.89,567.73,1061.1,165.72,494.8,804.28,1150.44,821.85,237.37,460,380.57,1099.7,1279.13,848.73,3108.09,1842.38,1133.25,987.72,2197.11,542.9
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9.99,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Alkaliphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.ClostridiaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium",0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,8.73,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.ClostridialesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.ClostridialesU.ClostridialesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae",35.73,0,0.88,8.59,2.94,5.56,9.41,1,4.82,9.72,4.79,0,2.99,22.22,2.9,3.94,58.57,10.6,10.66,0,23.04,11.46
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium",35.73,0,0.88,8.59,2.94,5.56,9.41,1,4.82,9.72,4.79,0,2.99,22.22,2.9,3.94,58.57,10.6,10.66,0,23.04,11.46
"Bacteria.Firmicutes.Clostridia.Clostridiales.Gracilibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Gracilibacteraceae.Gracilibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XI",97,0,6,3,1,4,0,0,0,14,28,0,8,14,2,53,31,0,14,10,8,20
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XI.Anaerococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XI.Finegoldia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XI.Incertae_Sedis_XIU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XI.Parvimonas",97,0,6,3,1,4,0,0,0,14,28,0,8,14,2,53,22,0,14,3,6,20
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XI.Peptoniphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIII",17.52,6,7,14,8,2,7,1,2,6,1,0,1,24,0,0,63,13.91,8,0,15,4
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIII.Anaerovorax",1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIII.Incertae_Sedis_XIIIU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIII.Mogibacterium",14,6,7,14,8,2,7,1,2,6,1,0,1,24,0,0,63,13,8,0,15,4
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIV",0,0,0,0,0,1,0,0,17.63,0,0,0,0,0,0,0,0,0,0,0,9,2
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIV.Blautia",0,0,0,0,0,1,0,0,17.63,0,0,0,0,0,0,0,0,0,0,0,9,2
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIV.Howardella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae",627.880000000001,69.81,74.75,127.29,188.21,52.96,48.72,105.21,102.67,324.87,38.73,65.9,52.58,304.74,266.98,228.68,954.070000000008,715.870000000004,76.56,205.43,304.32,218.78
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Acetitomaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerostipes",0,0,0,0,0,0,0,0,5.64,0,0,0.94,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Butyrivibrio",26.88,0,0.97,1,0,0,0,0,0,0.98,0,0,0,0,0,0,20.94,16.97,0,0,11.96,5.95
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Catonella",89,4,4,8,17.99,6,4,9,6,19.99,6.99,3,10,40.98,6,23.99,38,30.94,6,10,32.98,54.96
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus",0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,9,5,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Johnsonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.LachnospiraceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Moryella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,1.61,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Oribacterium",346.96,44.95,60.76,99.11,149.31,42.98,37.85,61.63,35.73,37.91,10,52.77,19,110.77,158.76,76.97,174.24,154.21,38,73,121.88,144.24
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia",0,0,0.96,0,0,0,0,0,21.44,0,0,0,0,0,0,0,0,0,2.98,88.31,13.62,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Shuttleworthia",0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0.95,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Syntrophococcus",0.8,0,0,0.81,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae",7,0,0,0.99,0,0,1,0,0,3,2,0,0,0,1.96,9.85,2.99,0.94,1,0,3.95,7.84
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Peptococcus",7,0,0,0.99,0,0,1,0,0,3,2,0,0,0,1.96,9.84,2.98,0.94,1,0,3.95,7.84
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae",11,0,2,13.99,1.99,10,1,1,0,23,15.6,0,3.85,15.48,4,10,14,5,12.85,0,38,12
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Filifactor",0,0,0,0.99,1.99,0,0,0,0,0,3.6,0,0.85,4.48,0,0,0,0,1.85,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.PeptostreptococcaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Peptostreptococcus",11,0,2,13,0,10,1,1,0,23,12,0,3,11,4,10,14,5,11,0,38,12
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Sporacetigenium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae",3.82,1,1.99,0,1,0,0,0,80,0,0,2,0,2,0,1,0,1,16,59.95,34.92,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Acetanaerobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Acetivibrio",0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Butyricicoccus",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium",0,0,0,0,0,0,0,0,49.98,0,0,1,0,0,0,0,0,1,5.87,25.75,14.93,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter",0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0.96,10.09,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Papillibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.RuminococcaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus",0,0,1,0,0,0,0,0,3,0,0,0.99,0,0,0,0,0,0,8,21.98,1,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Sporobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.66,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae",1401,541,383,385,851.88,88,425,686,902,422,141,392,305,706,991,509,1794.98,1034,983,689,1743,258
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Acidaminococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Anaeroglobus",0,0,0,0.99,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Centipeda",28,14.71,0.95,0.88,10.27,0,12.93,7.62,14.71,7.85,0,0,0,10.01,0,0,38.91,6.89,0,0.85,21.36,3.47
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Dialister",1,2,6,0,2.99,0,0,0.99,0,0,0,0,0,0,9,0,21,0,1,0,22,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Megamonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Megasphaera",244.34,17.72,19.78,6.78,81.81,0,68.53,71.64,131.21,24,0,13.69,0,15.81,93.17,9,125.12,31.39,13.9,0,12,25.25
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Mitsuokella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Phascolarctobacterium",0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,3,0,0,0,6.91,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Schwartzia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Selenomonas",20.99,0,1,2.86,1.99,0,4.97,13.7,1,3.91,1,0,0,5.49,0,0,16.47,6.88,0,0,37.91,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Succiniclasticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella",1021,475.82,353.99,367.85,734.95,87,297,569.85,725,371.95,140,377.98,303.99,658.99,878.94,493.56,1506.74,945.97,967,678.93,1593.95,217
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.VeillonellaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.ClostridiaU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.ClostridiaU.ClostridiaUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Clostridia.ClostridiaU.ClostridiaUU.ClostridiaUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Erysipelotrichi",0,0,0,0,1,0,0,0,4.54,0,0,0,0,0,2,0,1,0,0,2,5,0
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales",0,0,0,0,1,0,0,0,4.54,0,0,0,0,0,2,0,1,0,0,2,5,0
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae",0,0,0,0,1,0,0,0,4.54,0,0,0,0,0,2,0,1,0,0,2,5,0
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Bulleidia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Catenibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Coprobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.ErysipelotrichaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Holdemania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Sharpea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Solobacterium",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0
"Bacteria.Firmicutes.FirmicutesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Firmicutes.FirmicutesU.FirmicutesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
