"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium",0,2.25807908438119,2.66615882689012,8.26998364636505,0,1.42277001126021,2.5587164503536,3.83566898176687,17.6214780644065,0,15.1025137055312,38.5065965678008,6.97931251624968,0,0,0.777000777000777,0.417014178482068,2.56612971215717,1.63840802913558,4.84820547657173,0,150.651714774213,4.23085623895876,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Gardnerella",0,0,0,0,0,0,0,0,0,0,0.717369401012731,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales",0,6.11939431867302,0,10.3374795579563,0,0,3.15575028876944,0,0,11.9616443723674,33.2179788953159,16.6650133915286,0.333938397906683,0,0,0.388500388500388,0.417014178482068,1.32325033255532,2.45761204370336,17.7915797305384,0.449611407283705,8.44815448053907,5.98968361829734,2.75705675240198
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae",0,6.11939431867302,0,10.3374795579563,0,0,3.15575028876944,0,0,11.9616443723674,33.2179788953159,16.6650133915286,0.333938397906683,0,0,0.388500388500388,0.417014178482068,1.32325033255532,2.45761204370336,17.7915797305384,0.449611407283705,8.44815448053907,5.98968361829734,2.75705675240198
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Asaccharobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Atopobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388500388500388,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella",0,0,0,1.38758114871897,0,0,0.852905483451199,0,0,0,30.605244024259,12.1376847534967,0,0,0,0,0.417014178482068,0,2.45761204370336,16.5704303944878,0.449611407283705,8.44815448053907,4.83526427309573,2.67267410634362
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.CoriobacteriaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Eggerthella",0,0,0,0,0,0,0,0,0,4.57132905950347,0,0,0.333938397906683,0,0,0,0,0,0,0,0,0,0,0.0835471743152116
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Enterorhabdus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Gordonibacter",0,0,0,1.38758114871897,0,0,0,0,0,1.52377635316782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Olsenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11197373315865,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Slackia",0,0,0,0,0,0,0,0,0,0,1.51025137055312,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU.BacteriaUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU.BacteriaUUU.BacteriaUUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU.BacteriaUUU.BacteriaUUUU.BacteriaUUUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes",6677.10971068462,4567.3488216053,5619.74290611312,2963.026909163,6609.69223907226,6702.58415684615,5570.00160833602,3388.19983835395,3729.76204711228,2516.59283607432,4759.91210337023,3607.82610852098,4131.9934452663,5450.66725396858,4044.82421376073,3113.55866355865,3797.60216847373,4536.98047969977,3428.04111936037,5178.29184660415,6214.9874751108,5671.36578497435,2125.4673369264,5542.32070179626
